x,y
-10.00000,0.15666
-9.84252,0.41055
-9.68504,0.16228
-9.52756,0.45136
-9.37008,-0.24815
-9.21260,-0.04105
-9.05512,0.39958
-8.89764,0.12661
-8.74016,-0.08726
-8.58268,0.41109
-8.42520,0.23735
-8.26772,-0.06166
-8.11024,0.47898
-7.95276,0.53178
-7.79528,0.07648
-7.63780,0.35774
-7.48031,0.45384
-7.32283,0.06358
-7.16535,0.09895
-7.00787,0.39317
-6.85039,0.18265
-6.69291,0.57270
-6.53543,0.21681
-6.37795,0.03017
-6.22047,0.04367
-6.06299,0.71051
-5.90551,0.24652
-5.74803,0.57688
-5.59055,0.11995
-5.43307,0.22290
-5.27559,0.27661
-5.11811,0.03904
-4.96063,0.24681
-4.80315,0.36430
-4.64567,-0.10909
-4.48819,0.01263
-4.33071,0.26085
-4.17323,0.95728
-4.01575,0.43897
-3.85827,0.64643
-3.70079,1.50616
-3.54331,0.85922
-3.38583,1.02352
-3.22835,0.87336
-3.07087,0.77831
-2.91339,0.95711
-2.75591,0.86190
-2.59843,1.31632
-2.44094,1.68658
-2.28346,1.36358
-2.12598,1.93153
-1.96850,1.86682
-1.81102,1.74486
-1.65354,2.46662
-1.49606,2.95547
-1.33858,3.29762
-1.18110,4.36481
-1.02362,5.09029
-0.86614,5.71552
-0.70866,6.33367
-0.55118,8.51789
-0.39370,8.52870
-0.23622,10.02679
-0.07874,9.98047
0.07874,10.14462
0.23622,9.61338
0.39370,8.67427
0.55118,7.29802
0.70866,6.30364
0.86614,5.36453
1.02362,4.74318
1.18110,4.43031
1.33858,3.62793
1.49606,3.14957
1.65354,2.37788
1.81102,2.42087
1.96850,1.84685
2.12598,1.55230
2.28346,1.88576
2.44094,1.29363
2.59843,1.35767
2.75591,0.85772
2.91339,1.46489
3.07087,0.80553
3.22835,0.88726
3.38583,1.05007
3.54331,0.29788
3.70079,0.73784
3.85827,0.41097
4.01575,-0.22014
4.17323,0.36918
4.33071,1.00795
4.48819,0.88454
4.64567,0.27456
4.80315,0.81251
4.96063,0.10792
5.11811,0.48260
5.27559,0.16145
5.43307,0.11051
5.59055,0.31511
5.74803,0.58693
5.90551,0.43787
6.06299,0.07950
6.22047,0.65949
6.37795,-0.05326
6.53543,-0.15129
6.69291,-0.31070
6.85039,-0.22242
7.00787,-0.25280
7.16535,0.21234
7.32283,0.46090
7.48031,0.06864
7.63780,0.03073
7.79528,0.58193
7.95276,0.23826
8.11024,0.17129
8.26772,0.09146
8.42520,0.07093
8.58268,-0.02256
8.74016,0.00158
8.89764,0.14830
9.05512,-0.01094
9.21260,-0.11441
9.37008,-0.22615
9.52756,0.24137
9.68504,0.12067
9.84252,0.17500
10.00000,0.31084
